lat,lng,atclCfmYmd,atclNm,market_price,year,household_count,subway_line,subway_name,subway_distance,spc2,atclFetrDesc,tagList,현관구조,parking_per_household,min_floor,max_floor,direction,rooms,bath_rooms,location,atclNo
37.67723,127.05775,24.07.22.,극동늘푸른,34000,2000,299,7호선,수락산역,206.0,59.95,샷시부터 전체 올수리 중문도 설치함,"['25년이내', '융자금없는', '올수리']",복도식,0.87,3,16,남향,3,1,https://map.kakao.com/?q=서울시 노원구 상계동 1128&service=opensearch,https://fin.land.naver.com/articles/2435891108
37.6196,127.06216,24.08.16.,현대(929),25000,2000,1281,6호선,석계역,588.0,59.95,올수리되어 아주 깨끗함 조용한 동 8월 9월입주 가능함,"['25년이내', '융자금적은', '올수리', '대단지']",복도식,1.19,3,27,서향,3,1,https://map.kakao.com/?q=서울시 노원구 월계동 929&service=opensearch,https://fin.land.naver.com/articles/2440313305
37.656082,127.040735,24.08.09.,현대,35000,2000,205,1호선,창동역,689.0,59.91,창동역 도보권 2년전올수리  컨디션최상 협의입주,"['25년이내', '올수리', '방세개', '화장실한개']",복도식,1.01,11,18,서향,3,1,https://map.kakao.com/?q=서울시 도봉구 창동 813&service=opensearch,https://fin.land.naver.com/articles/2439124889
37.672186,127.056738,24.08.13.,상계우방,36000,2000,274,7호선,수락산역,611.0,59.93,수리  입주 협의 가능 지하주차장 2층 연결됨,"['25년이내', '융자금없는', '방세개', '화장실한개']",계단식,1.39,8,19,동향,3,1,https://map.kakao.com/?q=서울시 노원구 상계동 1295&service=opensearch,https://fin.land.naver.com/articles/2439754669
37.62683,127.03046,24.08.12.,미아신구,30000,2000,105,4호선,미아역,508.0,59.41,은행대출가능 보증보험가능 주차편리 남서향,"['25년이내', '융자금적은', '방세개', '화장실한개']",계단식,1,저,12,남서향,3,1,https://map.kakao.com/?q=서울시 강북구 미아동 1352&service=opensearch,https://fin.land.naver.com/articles/2439432029
37.62683,127.03046,24.08.07.,미아신구,37000,2000,105,4호선,미아역,508.0,84.9,"올수리 해서 깨끗한 미아신구아파트  , 미아역도보7분","['25년이내', '융자금없는', '올수리']",계단식,1,2,12,남동향,3,2,https://map.kakao.com/?q=서울시 강북구 미아동 1352&service=opensearch,https://fin.land.naver.com/articles/2438666101
37.62683,127.03046,24.07.30.,미아신구,37000,2000,105,4호선,미아역,508.0,84.9,"올수리 해서 깨끗한 미아신구아파트  , 미아역도보7분","['25년이내', '융자금없는', '올수리', '방세개']",계단식,1,2,12,남동향,3,2,https://map.kakao.com/?q=서울시 강북구 미아동 1352&service=opensearch,https://fin.land.naver.com/articles/2437371616
37.647089,127.035162,24.08.16.,창동현대타운(주상복합),32000,1999,158,4호선,쌍문역,242.0,66.42,"쌍문역초역세권, 몇년전 올수리, 아주깔끔, 밝고 환함, 안심전세,주차굿","['25년이내', '융자금없는', '올수리', '역세권']",복도식,1.1,7,12,북서향,3,1,https://map.kakao.com/?q=서울시 도봉구 창동 812&service=opensearch,https://fin.land.naver.com/articles/2440449857
37.680971,127.054473,24.08.14.,은빛1단지,32000,1998,1391,7호선,수락산역,402.0,59.95,전체 샷시부터 올수리한 앞트인 남향 입주협의가능,"['25년이상', '융자금없는', '올수리', '역세권']",복도식,0.56,10,15,남향,3,1,https://map.kakao.com/?q=서울시 노원구 상계동 1255&service=opensearch,https://fin.land.naver.com/articles/2439979534
37.680971,127.054473,24.08.16.,은빛1단지,32000,1998,1391,7호선,수락산역,402.0,59.95,샷시부터 전체 올수리  후 첫입주  선입금 원함,"['25년이상', '융자금적은', '올수리', '역세권']",복도식,0.56,2,15,남향,3,1,https://map.kakao.com/?q=서울시 노원구 상계동 1255&service=opensearch,https://fin.land.naver.com/articles/2440447799
