lat,lng,atclCfmYmd,atclNm,market_price,year,household_count,subway_line,subway_name,subway_distance,spc2,atclFetrDesc,tagList,현관구조,parking_per_household,min_floor,max_floor,direction,rooms,bath_rooms,location,atclNo,dates
37.3045,127.09837,24.08.16.,성호샤인힐즈,35000,2005,777,,,,84.98,정남향 로얄동 확트인조망 수리깨끗,"['25년이내', '융자금없는', '방세개', '화장실두개']",계단식,1.26,9,10,남향,3,2,https://map.kakao.com/?q=경기도 용인시 기흥구 보정동 878-22&service=opensearch,https://fin.land.naver.com/articles/2440258018,['24.08.16.']
37.374276,127.14113,24.08.16.,효자촌대명,32000,1995,144,,,,58.95,수리 깨끗  융무,"['25년이상', '방세개', '화장실한개', '중층']",계단식,0.59,2,4,남동향,3,1,https://map.kakao.com/?q=경기도 성남시 분당구 서현동 323&service=opensearch,https://fin.land.naver.com/articles/2440202263,['24.08.16.']
37.61467,126.90683,24.08.17.,동익파크,35000,1991,208,,,,84.98,"관리상태 양호합니다. 조망권 좋아요, 정남향","['25년이상', '방세개', '화장실두개', '중층']",계단식,0.81,7,13,남향,3,2,https://map.kakao.com/?q=서울시 은평구 구산동 355-95&service=opensearch,https://fin.land.naver.com/articles/2440445459,['24.08.17.']
37.67446,127.050395,24.08.17.,북부현대,28000,1996,105,7호선,수락산역,705.0,59.24,"전체수리후첫입주,빠른입주도가능","['25년이상', '방세개', '화장실한개', '저층']",복도식,0.77,2,15,동향,3,1,https://map.kakao.com/?q=서울시 노원구 상계동 1273&service=opensearch,https://fin.land.naver.com/articles/2440557259,['24.08.17.']
37.671738,127.081058,24.08.17.,성림,30000,2006,240,4호선,당고개역,227.0,84.5,전체 올수리 첫 입주 빠른입주가능,"['25년이내', '융자금없는', '올수리', '역세권']",계단식,0.8,2,20,남향,3,2,https://map.kakao.com/?q=서울시 노원구 상계동 1320&service=opensearch,https://fin.land.naver.com/articles/2440574422,['24.08.17.']
37.334669,127.119723,24.08.17.,무지개12단지주공,32410,1995,905,,,,58.14,"올수리,환한정남향,푸르른숲세권,11월말입주협의","['25년이상', '올수리', '방세개', '화장실한개']",복도식,1,6,12,남향,3,1,https://map.kakao.com/?q=경기도 성남시 분당구 구미동 212&service=opensearch,https://fin.land.naver.com/articles/2440532927,['24.08.17.']
37.6632,127.07862,24.08.19.,청암2단지,25000,2001,602,4호선,상계역,755.0,59.4,씽크대 교체해 드리며 급저렴해요 하시입주,"['25년이내', '방세개', '화장실한개', '중층']",계단식,0.76,중,20,남동향,3,1,https://map.kakao.com/?q=서울시 노원구 상계동 1276&service=opensearch,https://fin.land.naver.com/articles/2440794503,['24.08.19.']
37.61766,126.90681,24.08.19.,우남,29900,1998,109,,,,59.92,입주일 협의 가능합니다. 관리상태최상,"['25년이상', '융자금없는', '방세개']",복도식,1,9,16,남서향,3,1,https://map.kakao.com/?q=서울시 은평구 갈현동 540&service=opensearch,https://fin.land.naver.com/articles/2440865588,['24.08.19.']
37.602702,127.098715,24.08.19.,라이프미성,32000,1992,277,경춘,망우역,770.0,76.16,"도배,장판해줌,입주협의가","['25년이상', '방세개', '화장실한개', '중층']",복도식,0,6,12,남동향,3,1,https://map.kakao.com/?q=서울시 중랑구 신내동 487&service=opensearch,https://fin.land.naver.com/articles/2440773589,"['24.08.19.', '24.07.15.']"
37.652569,127.021118,24.08.21.,현대3차,32000,1995,287,,,,84.97,쌍문동 방3화2 깔끔한집  빠른입주가능,"['25년이상', '방세개', '화장실두개', '주차가능']",계단식,0.73,4,12,남동향,3,2,https://map.kakao.com/?q=서울시 도봉구 쌍문동 719&service=opensearch,https://fin.land.naver.com/articles/2441257904,['24.08.21.']
